curso_academico,cod_universidad,des_universidad,cod_departamento,des_departamento,cod_municipio,des_municipio,cod_campus,des_campus,des_situacion_departamento,fecha_desde_situacion_departamento
2021-22,010,Universidad-Complutense-de-Madrid,55000552,Psicologia-Basica-II,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000553,Metodologia-de-las-Ciencias-del-Comportamiento,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000554,Personalidad-Evaluacion-y-Tratamiento-Psicologico-I,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000555,Personalidad-Evaluacion-y-Tratamiento-Psicologico-II,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000556,Psicobiologia,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000557,Dibujo-I,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000558,Pintura,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000559,Escultura,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000560,Paleontologia,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000561,Estratigrafia,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000562,Geodinamica,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000563,Cristalografia-y-Mineralogia,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000564,Petrologia-y-Geoquimica,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000565,Quimica-Analitica,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000566,Quimica-Inorganica-I,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000567,Quimica-Organica-I,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000568,Ciencia-de-los-Materiales-e-Ingenieria-Metalurgica,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000569,Quimica-Fisica-I,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000570,Ingenieria-Quimica,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000571,Bioquimica-y-Biologia-Molecular-I,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000572,Fisica-de-los-Materiales,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000573,Fisica-Atomica-Molecular-y-Nuclear,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000574,Fisica-Teorica-I,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000575,Fisica-Teorica-II,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000576,Fisica-Aplicada-I,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000577,Optica,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000578,Fisica-Aplicada-III,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000579,Fisica-de-la-Tierra-Astronomia-y-Astrofisica-I,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000580,Genetica,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000581,Biologia-Celular---Morfologia-Microscopica,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000582,Biologia-Vegetal-I,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000583,Microbiologia-I,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000584,Ecologia,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000585,Estadistica-e-Investigacion-Operativa,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000586,Algebra,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000587,Geometria-y-Topologia,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000588,Analisis-Matematico,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000589,Matematica-Aplicada,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000590,Pediatria,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000591,Anatomia-Patologica,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000592,Radiologia-y-Medicina-Fisica,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000593,Obstetricia-y-Ginecologia,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000594,Psiquiatria,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000595,Farmacologia,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000596,Fisiologia,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
